CustomerID,Frequency,Monetary,AvgOrderValue,PurchaseSpan,TotalItems,DaysSinceFirst,PurchaseRate,churned,Country_France,Country_Germany,Country_Netherlands,Country_Other,Country_United Kingdom,churn_probability,risk_level
C10000,4,653.13,163.28,435,78,713,0.1681,1,False,False,False,True,False,1.0,High
C10001,2,222.02,111.01,32,43,308,0.1942,1,False,False,False,False,True,0.9998,High
C10002,11,589.96,53.63,605,102,674,0.4889,0,False,False,False,False,True,0.0049,Low
C10003,1,6.76,6.76,0,1,684,0.0438,1,False,False,False,True,False,1.0,High
C10004,3,360.34,120.11,200,53,500,0.1796,1,False,False,False,False,True,0.9997,High
C10005,5,478.88,95.78,332,113,519,0.2885,1,False,False,False,False,True,0.9984,High
C10006,31,2762.02,89.1,640,515,707,1.3136,0,False,False,False,False,True,0.0002,Low
C10007,16,1806.28,112.89,553,334,700,0.6847,1,False,False,False,False,True,0.9982,High
C10008,4,232.62,58.16,309,44,537,0.223,1,False,False,False,True,False,0.9985,High
C10009,13,2254.93,173.46,702,379,727,0.5357,0,False,False,False,False,True,0.0003,Low
C10010,11,1748.62,158.97,593,229,594,0.5546,0,False,False,True,False,False,0.0017,Low
C10011,16,1481.55,92.6,657,251,685,0.6997,0,False,False,False,True,False,0.0001,Low
C10012,12,696.2,58.02,644,100,689,0.5217,0,False,False,False,False,True,0.0001,Low
C10013,1,67.64,67.64,0,19,622,0.0482,1,False,False,False,False,True,1.0,High
C10014,12,866.87,72.24,522,177,634,0.5669,1,False,True,False,False,False,0.9753,High
C10015,4,287.93,71.98,294,45,473,0.2532,1,False,False,False,False,True,0.9969,High
C10016,8,1383.74,172.97,553,230,649,0.3692,1,False,False,False,False,True,0.958,High
C10017,1,253.03,253.03,0,39,579,0.0517,1,False,False,False,False,True,0.9999,High
C10018,45,5141.49,114.26,653,826,703,1.9176,0,False,False,False,False,True,0.0001,Low
C10019,8,500.44,62.56,509,71,660,0.3631,1,False,False,False,False,True,0.9967,High
C10020,1,366.18,366.18,0,44,629,0.0476,1,False,False,False,False,True,0.9999,High
C10021,1,225.76,225.76,0,11,716,0.0418,1,False,False,False,False,True,1.0,High
C10022,1,122.76,122.76,0,27,580,0.0516,1,True,False,False,False,False,1.0,High
C10023,5,261.56,52.31,562,60,642,0.2333,0,False,False,False,False,True,0.0346,Low
C10024,11,914.55,83.14,591,159,696,0.4735,1,False,True,False,False,False,0.993,High
C10025,2,50.77,25.38,391,13,697,0.086,1,False,False,False,False,True,1.0,High
C10027,2,245.13,122.56,173,47,692,0.0866,1,False,False,False,True,False,1.0,High
C10028,6,1020.52,170.09,540,151,714,0.2517,1,False,False,False,True,False,0.9999,High
C10029,8,640.99,80.12,496,141,516,0.4642,0,False,False,False,False,True,0.0017,Low
C10030,2,213.62,106.81,53,40,643,0.0932,1,False,False,False,False,True,1.0,High
C10031,5,207.23,41.45,543,32,649,0.2308,1,False,False,False,False,True,0.9746,High
C10032,7,1175.85,167.98,552,236,651,0.3221,1,False,False,False,False,True,0.9714,High
C10033,8,1072.24,134.03,390,154,668,0.3587,1,False,True,False,False,False,0.9998,High
C10034,2,75.26,37.63,14,18,194,0.3077,1,False,False,False,False,True,0.9985,High
C10035,15,1437.11,95.81,642,195,678,0.6627,0,False,False,False,False,True,0.0001,Low
C10036,26,4380.12,168.47,600,620,724,1.0759,1,False,False,False,True,False,0.9984,High
C10037,4,1129.11,282.28,255,129,700,0.1712,1,False,False,False,False,True,1.0,High
