CustomerID,LastPurchase,FirstPurchase,Frequency,Monetary,TotalItems,Recency,AvgOrderValue,PurchaseSpan
C10000,2023-03-28 19:00:00,2022-01-17 09:00:00,4,653.13,78,279,163.28,435
C10001,2023-03-30 12:00:00,2023-02-26 09:00:00,2,222.02,43,277,111.01,32
C10002,2023-10-24 08:00:00,2022-02-25 10:00:00,11,589.96,102,69,53.63,605
C10003,2022-02-15 16:00:00,2022-02-15 16:00:00,1,6.76,1,685,6.76,0
C10004,2023-03-06 20:00:00,2022-08-18 08:00:00,3,360.34,53,301,120.11,200
C10005,2023-06-27 14:00:00,2022-07-30 08:00:00,5,478.88,113,188,95.78,332
C10006,2023-10-25 15:00:00,2022-01-23 14:00:00,31,2762.02,515,68,89.1,640
C10007,2023-08-06 16:00:00,2022-01-30 11:00:00,16,1806.28,334,148,112.89,553
C10008,2023-05-17 17:00:00,2022-07-12 09:00:00,4,232.62,44,229,58.16,309
C10009,2023-12-06 20:00:00,2022-01-03 09:00:00,13,2254.93,379,26,173.46,702
C10010,2023-12-30 18:00:00,2022-05-16 17:00:00,11,1748.62,229,2,158.97,593
C10011,2023-12-03 18:00:00,2022-02-14 08:00:00,16,1481.55,251,29,92.6,657
C10012,2023-11-16 14:00:00,2022-02-10 14:00:00,12,696.2,100,46,58.02,644
C10013,2022-04-18 16:00:00,2022-04-18 08:00:00,1,67.64,19,623,67.64,0
C10014,2023-09-10 17:00:00,2022-04-06 12:00:00,12,866.87,177,113,72.24,522
C10015,2023-07-05 11:00:00,2022-09-14 11:00:00,4,287.93,45,180,71.98,294
C10016,2023-09-26 19:00:00,2022-03-22 08:00:00,8,1383.74,230,97,172.97,553
C10017,2022-05-31 19:00:00,2022-05-31 09:00:00,1,253.03,39,580,253.03,0
C10018,2023-11-11 18:00:00,2022-01-27 13:00:00,45,5141.49,826,51,114.26,653
C10019,2023-08-02 15:00:00,2022-03-11 08:00:00,8,500.44,71,152,62.56,509
C10020,2022-04-11 20:00:00,2022-04-11 08:00:00,1,366.18,44,630,366.18,0
C10021,2022-01-14 19:00:00,2022-01-14 09:00:00,1,225.76,11,717,225.76,0
C10022,2022-05-30 19:00:00,2022-05-30 09:00:00,1,122.76,27,581,122.76,0
C10023,2023-10-12 08:00:00,2022-03-29 08:00:00,5,261.56,60,81,52.31,562
C10024,2023-09-18 13:00:00,2022-02-03 20:00:00,11,914.55,159,105,83.14,591
C10025,2023-02-28 19:00:00,2022-02-02 11:00:00,2,50.77,13,307,25.38,391
C10027,2022-07-30 12:00:00,2022-02-07 08:00:00,2,245.13,47,520,122.56,173
C10028,2023-07-10 17:00:00,2022-01-16 11:00:00,6,1020.52,151,175,170.09,540
C10029,2023-12-12 15:00:00,2022-08-02 17:00:00,8,640.99,141,20,80.12,496
C10030,2022-05-20 15:00:00,2022-03-28 10:00:00,2,213.62,40,591,106.81,53
C10031,2023-09-17 10:00:00,2022-03-22 20:00:00,5,207.23,32,106,41.45,543
C10032,2023-09-23 20:00:00,2022-03-20 11:00:00,7,1175.85,236,100,167.98,552
C10033,2023-03-28 18:00:00,2022-03-03 09:00:00,8,1072.24,154,279,134.03,390
C10034,2023-07-04 19:00:00,2023-06-20 15:00:00,2,75.26,18,181,37.63,14
C10035,2023-11-26 16:00:00,2022-02-21 17:00:00,15,1437.11,195,36,95.81,642
C10036,2023-08-29 17:00:00,2022-01-06 10:00:00,26,4380.12,620,125,168.47,600
C10037,2022-10-12 20:00:00,2022-01-30 08:00:00,4,1129.11,129,446,282.28,255
C10038,2023-06-20 17:00:00,2022-03-29 09:00:00,5,226.17,61,195,45.23,448
C10039,2023-06-17 20:00:00,2022-07-26 08:00:00,4,798.44,95,198,199.61,326
C10040,2023-11-09 18:00:00,2022-02-27 09:00:00,5,474.97,105,53,94.99,620
C10041,2023-10-16 20:00:00,2022-10-02 20:00:00,6,303.23,67,77,50.54,379
C10042,2023-09-09 15:00:00,2022-03-07 17:00:00,6,278.66,40,114,46.44,550
C10043,2023-10-17 20:00:00,2022-01-22 10:00:00,11,1433.29,261,76,130.3,633
C10044,2023-08-18 17:00:00,2022-02-12 14:00:00,14,1138.95,214,136,81.35,552
C10045,2023-10-26 09:00:00,2022-02-11 11:00:00,30,3432.6,562,67,114.42,621
C10046,2023-10-14 19:00:00,2022-01-29 09:00:00,23,2327.89,245,79,101.21,623
C10047,2022-02-19 18:00:00,2022-02-19 18:00:00,1,82.8,12,681,82.8,0
C10048,2023-07-28 10:00:00,2022-01-03 14:00:00,6,139.75,41,157,23.29,570
C10049,2022-01-29 20:00:00,2022-01-29 08:00:00,1,81.78,20,702,81.78,0
C10050,2023-08-16 16:00:00,2022-02-04 08:00:00,5,703.42,72,138,140.68,558
C10051,2023-05-08 16:00:00,2022-05-21 14:00:00,5,804.29,114,238,160.86,352
C10052,2023-08-23 12:00:00,2022-07-19 11:00:00,3,77.06,21,131,25.69,400
C10053,2023-01-14 16:00:00,2022-09-03 10:00:00,2,107.08,16,352,53.54,133
C10054,2023-09-23 20:00:00,2022-02-17 19:00:00,6,374.32,64,100,62.39,583
C10055,2022-01-26 11:00:00,2022-01-26 09:00:00,1,262.5,16,705,262.5,0
C10056,2023-07-11 15:00:00,2022-01-09 11:00:00,5,737.64,108,174,147.53,548
C10058,2022-01-09 18:00:00,2022-01-09 08:00:00,1,65.07,17,722,65.07,0
C10060,2023-10-24 20:00:00,2022-01-08 19:00:00,22,1713.46,333,69,77.88,654
C10061,2023-05-08 19:00:00,2022-03-15 08:00:00,2,129.3,17,238,64.65,419
C10063,2023-10-13 20:00:00,2022-02-09 12:00:00,9,1567.09,292,80,174.12,611
C10064,2023-12-18 19:00:00,2022-01-18 11:00:00,18,1543.6,247,14,85.76,699
C10065,2023-01-20 12:00:00,2022-04-02 18:00:00,3,242.85,47,346,80.95,292
C10066,2023-02-20 20:00:00,2023-02-20 09:00:00,1,519.35,60,315,519.35,0
C10068,2023-12-15 15:00:00,2022-01-01 09:00:00,31,2251.51,393,17,72.63,713
C10069,2023-01-08 16:00:00,2022-04-10 09:00:00,4,248.58,54,358,62.14,273
C10070,2023-12-12 14:00:00,2022-05-13 09:00:00,11,1042.11,192,20,94.74,578
C10071,2023-09-23 17:00:00,2022-03-20 13:00:00,10,1423.13,261,100,142.31,552
C10072,2023-11-22 17:00:00,2022-04-10 15:00:00,9,503.14,76,40,55.9,591
C10073,2022-02-03 15:00:00,2022-02-03 15:00:00,1,63.99,9,697,63.99,0
C10074,2023-09-28 16:00:00,2022-01-09 13:00:00,7,1015.71,181,95,145.1,627
C10075,2022-05-09 19:00:00,2022-01-04 08:00:00,2,279.82,48,602,139.91,125
C10076,2023-07-10 18:00:00,2022-06-30 12:00:00,5,684.93,84,175,136.99,375
C10077,2022-02-03 19:00:00,2022-02-03 14:00:00,1,288.35,31,697,288.35,0
C10078,2023-10-09 19:00:00,2022-04-12 09:00:00,7,1245.31,217,84,177.9,545
C10079,2022-01-17 17:00:00,2022-01-17 17:00:00,1,54.9,5,714,54.9,0
C10080,2023-10-23 14:00:00,2022-10-28 08:00:00,4,296.43,78,70,74.11,360
C10081,2023-09-08 11:00:00,2022-01-05 19:00:00,9,988.69,69,115,109.85,610
C10082,2023-11-03 14:00:00,2022-07-12 14:00:00,6,921.64,132,59,153.61,479
C10083,2023-11-27 12:00:00,2022-01-02 09:00:00,12,591.69,114,35,49.31,694
C10084,2023-08-23 19:00:00,2022-07-21 10:00:00,2,309.99,76,131,155.0,398
C10085,2023-04-23 19:00:00,2022-12-29 09:00:00,5,186.06,59,253,37.21,115
C10086,2023-11-23 12:00:00,2022-01-07 08:00:00,9,937.24,214,39,104.14,685
C10087,2022-03-16 16:00:00,2022-03-16 11:00:00,1,133.36,22,656,133.36,0
